codcen;descen;codcdc;descdc;lancamento;ite_pagrec_vencimento;iterea_pagamento;iterea_valpago;documento;codigo_pessoa;nome;valor_plano;valor_centro;observacao;nota;cab_pagrec_id;valor_bruto;filial
1.2.4.2;GERAL CONSOLIDADO / SELETIVA / MARINGA / COMERCIAL;6.6.6;FRETE DE COLETA;30/03/2026;2026-03-30;NAO PAGO;0;CTE-5287;7886;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-2312;-2312; -  DOCUMENTO ELETRÔNICO REFERENCIADO;5287-2/57;56392;2312;G3S MARINGA
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;23/03/2026;2026-04-05;2026-04-24;1890;CTE-13481;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-1890;-1890; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13481-1/57;55883;1890;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;23/03/2026;2026-04-05;2026-04-24;2254;CTE-13475;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-2254;-2254; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13475-1/57;55945;2254;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;23/03/2026;2026-04-05;2026-04-24;2338;CTE-13480;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-2338;-2338; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13480-1/57;56422;2338;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13494;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-680;-680; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13494-1/57;55824;680;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13493;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-725,9;-725,9; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13493-1/57;55867;725,9;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13492;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-3442,5;-3442,5; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13492-1/57;55869;3442,5;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13491;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-102;-102; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13491-1/57;55870;102;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13490;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-1128,8;-1128,8; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13490-1/57;55871;1128,8;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13489;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-3600,6;-3600,6; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13489-1/57;55872;3600,6;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13487;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-5015;-5015; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13487-1/57;55874;5015;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13486;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-2720;-2720; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13486-1/57;55876;2720;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13485;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-102;-102; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13485-1/57;55877;102;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13484;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-2244;-2244; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13484-1/57;55880;2244;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;25/03/2026;2026-04-05;NAO PAGO;0;CTE-13483;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-714;-714; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13483-1/57;55881;714;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;23/03/2026;2026-04-05;NAO PAGO;0;CTE-13479;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-840;-840; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13479-1/57;55941;840;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;23/03/2026;2026-04-05;NAO PAGO;0;CTE-13478;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-2686;-2686; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13478-1/57;55942;2686;G3S PRUDENTE
1.2.5.2;GERAL CONSOLIDADO / SELETIVA / PRESIDENTE PRUDENTE / COMERCIAL;6.6.6;FRETE DE COLETA;23/03/2026;2026-04-05;NAO PAGO;0;CTE-13477;376;G&S TRANSPORTE LOGISTICA E LOCACAO DE MAQUINAS E EQUIPAMENTO;-2737;-2737; -  DOCUMENTO ELETRÔNICO REFERENCIADO;13477-1/57;55944;2737;G3S PRUDENTE
