codcen;descen;codcdc;descdc;lancamento;ite_pagrec_vencimento;iterea_pagamento;iterea_valpago;documento;codigo_pessoa;nome;valor_plano;valor_centro;observacao;nota;cab_pagrec_id;valor_bruto;filial
2.7.8.2;RECEITA / EKIPA SERVICOS - G&S / G&S PRUDENTE / COMERCIAL;5.7.2;FRETE PROPRIO;23/03/2026;2026-03-23;2026-04-24;2254;CTF013475;330;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;2254;2254; ;;54951;2254;G&S PRUDENTE
2.7.8.2;RECEITA / EKIPA SERVICOS - G&S / G&S PRUDENTE / COMERCIAL;5.7.2;FRETE PROPRIO;23/03/2026;2026-03-23;2026-04-24;2338;CTF013480;330;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;2338;2338; ;8191-1/FL;54952;2338;G&S PRUDENTE
2.7.8.2;RECEITA / EKIPA SERVICOS - G&S / G&S PRUDENTE / COMERCIAL;5.7.2;FRETE PROPRIO;23/03/2026;2026-03-23;2026-04-24;1890;CTF013481;330;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;1890;1890; ;8192-1/FL;54954;1890;G&S PRUDENTE
2.7.7.2;RECEITA / EKIPA SERVICOS - G&S / G&S MARINGA / COMERCIAL;5.7.2;FRETE PROPRIO;30/03/2026;2026-03-30;NAO PAGO;0;CTF55308;716;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;1207;1207; ;;56305;1207;G&S MARINGA
2.7.7.2;RECEITA / EKIPA SERVICOS - G&S / G&S MARINGA / COMERCIAL;5.7.2;FRETE PROPRIO;30/03/2026;2026-03-30;NAO PAGO;0;CTF55309;716;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;1921;1921; ;8265-1/FL;56306;1921;G&S MARINGA
2.7.7.2;RECEITA / EKIPA SERVICOS - G&S / G&S MARINGA / COMERCIAL;5.7.2;FRETE PROPRIO;30/03/2026;2026-03-30;NAO PAGO;0;CTF55310;716;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;204;204; ;8266-1/FL;56309;204;G&S MARINGA
2.7.7.2;RECEITA / EKIPA SERVICOS - G&S / G&S MARINGA / COMERCIAL;5.7.2;FRETE PROPRIO;30/03/2026;2026-03-30;NAO PAGO;0;CTF55311;716;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;2873;2873; ;8267-1/FL;56310;2873;G&S MARINGA
2.7.7.2;RECEITA / EKIPA SERVICOS - G&S / G&S MARINGA / COMERCIAL;5.7.2;FRETE PROPRIO;31/03/2026;2026-03-31;NAO PAGO;0;CTF55312;716;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;1717;1717; ;8276-1/FL;56540;1717;G&S MARINGA
2.7.7.2;RECEITA / EKIPA SERVICOS - G&S / G&S MARINGA / COMERCIAL;5.7.2;FRETE PROPRIO;31/03/2026;2026-03-31;NAO PAGO;0;CTF55313;716;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;1751;1751; ;8277-1/FL;56545;1751;G&S MARINGA
2.7.7.2;RECEITA / EKIPA SERVICOS - G&S / G&S MARINGA / COMERCIAL;5.7.2;FRETE PROPRIO;28/03/2026;2026-03-28;NAO PAGO;0;CTF55258;716;G3S COMERCIO E INDUSTRIA DE FERRO E ACO LTDA;686;686; ;8218-1/FL;55985;686;G&S MARINGA
