sdssds;n1_cod_centro_custo;n1_centro_custo;n1_CC;n2_cod_centro_custo;n2_centro_custo;n2_CC;n3_cod_centro_custo;n3_centro_custo;n3_CC;n4_cod_centro_custo;n4_centro_custo;n4_CC;cod_conta;conta;cod_conta-descr;filial;titulo;valor_nf;valor_pago; valor_conta ;observacao;data_nf;data_pagamento;cod_credor_forn_cli_func;credor_forn_cli_func;Origem;Sistema;Dados auxiliares; Valor Oficial 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFSE-1931;690,00;0,00;-690,00;" CRISTINA - NFS. 1.931 VENC. 25/04/26 VIA BOL. - REF. A 01 RECAPAGEM EM PNEU 275/80R22,5 BRIDGESTONE LISO R$650,00 E 01
CONSERTO CT-33 R$20,00 E 01 CONSERTO CT-40 R$20,00 NA PRENSA MOVEL GDU0275, PRUDENTE";31/03/2026;NAO PAGO;30722;ATZ PNEUS LTDA;Saida (Aplicacoes);SAGI;1931-1/NS;-R$ 690,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.17;GÁS - USO OFICINA;7.1.17 GÁS - USO OFICINA;G&S PRUDENTE;NFE-6537;377,45;0,00;-377,45;" CRISTINA - NFE. 6.537 VENC. 15/04/26 VIA BOL. - REF. A COMPRA DE GÁS OXIGÊNIO CIL. T 10M3 P/ USO EM MANUTENÇÕES NA
PRENSA MOVEL GDU0275, PRUDENTE";23/03/2026;NAO PAGO;28971;WHITE MARTINS GASES IND. LTDA;Saida (Aplicacoes);SAGI;6537-604/55;-R$ 377,45 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-161593;173,30;0,00;-173,30;" CRISTINA - NFE. 161.593 VENC. 25/04/26 VIA PIX - REF. A COMPRA DE MANGUEIRA HIDRAULICA AGR2-8 GATES E COMPLEMENTOS P/
USO NA PRENSA MOVEL GDU0275, PRUDENTE";20/03/2026;NAO PAGO;7736;PRUDENFLEX COMERCIO E SERVICOS LTDA.;Saida (Aplicacoes);SAGI;161593-1/55;-R$ 173,30 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-161853;45,00;0,00;-45,00; CRISTINA - NFE. 161.853 VENC. 05/05/26 VIA PIX - REF. A COMPRA DE VISOR DE OLEO 3/4 P/ USO NA PRENSA MOVEL GDU0275, PRUDENTE -  - PEDIDO: 583567 VOCE PAGOU APROXIMADAMENTE:  6,05 DE TRIBUTOS FEDERAIS  8,10 DE TRIBUTOS ESTADUAIS  0,00 DE TRIBUTOS MUNICIPAIS  FONTE: IBPT  - CHAVE: 1C2537 CBS/IBS VL. BC: 35,55, VL. CBS: 0,32 , VL. IBS-UF: 0,04 , VL. IBS-MUN: 0,00;27/03/2026;NAO PAGO;7736;PRUDENFLEX COMERCIO E SERVICOS LTDA.;Saida (Aplicacoes);SAGI;161853-1/55;-R$ 45,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-161855;55,60;0,00;-18,80; CRISTINA - NFE. 161.855 VENC. 05/05/26 VIA PIX - REF. A COMPRA DE GRAXEIRO 1/2 UNF 45 P/ USO NA PRENSA MOVEL QXH2G14 E GRAXEIRO 1/8 BSP RETA P/ USO NA PRENSA MOVEL GDU0275, PRUDENTE -  - PEDIDO: 583494 VOCE PAGOU APROXIMADAMENTE:  8,64 DE TRIBUTOS FEDERAIS  10,01 DE TRIBUTOS ESTADUAIS  0,00 DE TRIBUTOS MUNICIPAIS  FONTE: IBPT  - CHAVE: 1C2537 CBS/IBS VL. BC: 43,93, VL. CBS: 0,39 , VL. IBS-UF: 0,04 , VL. IBS-MUN: 0,00;27/03/2026;NAO PAGO;7736;PRUDENFLEX COMERCIO E SERVICOS LTDA.;Saida (Aplicacoes);SAGI;161855-1/55;-R$ 18,80 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.2;QXH2G14 (PHH0061);1.2.1.8.2 QXH2G14 (PHH0061);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G&S PRUDENTE;NFE-161855;55,60;0,00;-36,80; CRISTINA - NFE. 161.855 VENC. 05/05/26 VIA PIX - REF. A COMPRA DE GRAXEIRO 1/2 UNF 45 P/ USO NA PRENSA MOVEL QXH2G14 E GRAXEIRO 1/8 BSP RETA P/ USO NA PRENSA MOVEL GDU0275, PRUDENTE -  - PEDIDO: 583494 VOCE PAGOU APROXIMADAMENTE:  8,64 DE TRIBUTOS FEDERAIS  10,01 DE TRIBUTOS ESTADUAIS  0,00 DE TRIBUTOS MUNICIPAIS  FONTE: IBPT  - CHAVE: 1C2537 CBS/IBS VL. BC: 43,93, VL. CBS: 0,39 , VL. IBS-UF: 0,04 , VL. IBS-MUN: 0,00;27/03/2026;NAO PAGO;7736;PRUDENFLEX COMERCIO E SERVICOS LTDA.;Saida (Aplicacoes);SAGI;161855-1/55;-R$ 36,80 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;OC 29634;3.500,00;3.500,00;-3.500,00;" CRISTINA - S/N VENC. 25/03/26 VIA CARTÃO ALELO - REF. A TROCA PARCIAL DOS CHASSIS DO LADO DO MOTORISTA COM REFORÇO,
SUPORTE DO PISTÃO SOLDADO COM REFORÇO, PROTETOR DO AR CONDICIONADO E TRINCAS DIVERSAS SOLDADAS NA PRENSA
MOVEL GDU0275, PRUDENTE";25/03/2026;2026-03-25;686;DAVID JUNIOR DE SOUZA;Saida (Aplicacoes);SAGI;;-R$ 3.500,00 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-28335;2.810,72;0,00;-702,68;" CRISTINA - NFE. 28.335 VENC. 01/04/26 VIA CARTÃO 7286 EM 4X - REF. A COMPRA DE SEAL KIT P/ USO NA PRENSA MOVEL GDU0275,
PRUDENTE";25/03/2026;NAO PAGO;26061;MADAL PALFINGER S/A;Saida (Aplicacoes);SAGI;28335-2/55;-R$ 702,68 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-28335;2.810,72;0,00;-702,68;" CRISTINA - NFE. 28.335 VENC. 01/04/26 VIA CARTÃO 7286 EM 4X - REF. A COMPRA DE SEAL KIT P/ USO NA PRENSA MOVEL GDU0275,
PRUDENTE";25/03/2026;NAO PAGO;26061;MADAL PALFINGER S/A;Saida (Aplicacoes);SAGI;28335-2/55;-R$ 702,68 
SELETIVA;1.2;SELETIVA;1.2 SELETIVA;1.2.1;CORPORATIVO SUCATA;1.2.1 CORPORATIVO SUCATA;1.2.1.8;PRENSA MOVEL;1.2.1.8 PRENSA MOVEL;1.2.1.8.1;GDU0275 (PHH0022);1.2.1.8.1 GDU0275 (PHH0022);7.1.2;MANUTENÇÃO DE VEÍCULOS/MAQUINAS;7.1.2 MANUTENÇÃO DE VEÍCULOS/MAQUINAS;G3S PRUDENTE;NFE-28335;2.810,72;0,00;-702,68;" CRISTINA - NFE. 28.335 VENC. 01/04/26 VIA CARTÃO 7286 EM 4X - REF. A COMPRA DE SEAL KIT P/ USO NA PRENSA MOVEL GDU0275,
PRUDENTE";25/03/2026;NAO PAGO;26061;MADAL PALFINGER S/A;Saida (Aplicacoes);SAGI;28335-2/55;-R$ 702,68 
